date,signal_I1,HSI_I1,HSCEI_I1,signal_I2,NKY_I2,TPX_I2,signal_I3,TAMSCI_I3,TWSE_I3
2005-12-19,0,-0,0,1,-1589.78765892909,1589.24,-1,6431.29324453004,-6431.42
2005-12-20,0,-0,0,1,-1614.05036830645,1613.99,0,-0,0
2005-12-21,0,-0,0,1,-1636.75539941469,1636.38,1,-6471.76485849561,6471.89
2005-12-22,0,-0,0,-1,1637.7878420063,-1637.89,-1,6417.07308848482,-6417.2
2005-12-23,0,-0,0,0,-0,0,1,-6512.50450742821,6512.63
2005-12-26,0,-0,0,1,-1649.15598593972,1648.94,0,-0,0
2005-12-27,0,-0,0,-1,1637.82322942468,-1637.93,0,-0,0
2005-12-28,0,-0,0,1,-1654.16809048848,1653.92,-1,6524.27190688872,-6524.4
2005-12-29,1,-5338.33994961092,5338.34,1,-1663.94854416126,1663.75,-1,6575.40289594177,-6575.53
2005-12-30,1,-5330.33994962716,5330.34,-1,1649.41911214629,-1649.76,-1,6548.2105289559,-6548.34
2006-01-02,0,-0,0,-1,1649.74778056853,-1649.76,-1,6461.93181261242,-6462.06
2006-01-03,1,-5412.98994714048,5412.99,0,-0,0,1,-6591.64268836413,6591.77
2006-01-04,1,-5569.98994621171,5569.99,1,-1673.1499500951,1673.07,1,-6616.3141657706,6616.44
2006-01-05,0,-0,0,-1,1684.96096213302,-1685.15,0,-0,0
2006-01-06,0,-0,0,1,-1684.91215643971,1684.9,1,-6694.69315105236,6694.82
2006-01-09,1,-5804.80995331739,5804.81,0,-0,0,1,-6742.26370123113,6742.39
2006-01-10,-1,5761.61999614271,-5761.62,-1,1658.84044416572,-1659.03,-1,6707.26900435559,-6707.4
2006-01-11,-1,5735.72999757997,-5735.73,1,-1672.82278608709,1672.44,0,-0,0
2006-01-12,0,-0,0,-1,1684.23056593021,-1684.34,1,-6725.48356472354,6725.61
2006-01-13,1,-5884.20994385688,5884.21,1,-1681.81188084097,1681.69,-1,6682.21885978378,-6682.35
2006-01-16,1,-5961.47994188682,5961.48,-1,1669.88800298081,-1670.15,1,-6724.05121034725,6724.18
2006-01-17,0,-0,0,-1,1631.26961762825,-1631.61,1,-6710.911597195,6711.04
2006-01-18,1,-5942.20992932302,5942.21,1,-1575.0092890054,1574.67,-1,6498.78353327876,-6498.92
2006-01-19,1,-6103.42993828998,6103.43,-1,1619.95878741398,-1620.29,1,-6512.15843466459,6512.29
2006-01-20,0,-0,0,-1,1624.22499983347,-1624.39,1,-6486.49873455742,6486.63
2006-01-23,1,-6071.20995224813,6071.21,1,-1587.96085325373,1587.9,1,-6381.83927054015,6381.97
2006-01-24,0,-0,0,1,-1612.63117729423,1612.43,-1,6451.80556464239,-6451.94
2006-01-25,0,-0,0,-1,1618.24790150758,-1618.46,1,-6532.04955400149,6532.18
2006-01-26,0,-0,0,-1,1643.28172909755,-1643.29,0,-0,0
2006-01-27,1,-6277.04994447597,6277.05,1,-1690.72748491603,1690.32,0,-0,0
2006-01-30,0,-0,0,-1,1704.13522350478,-1704.28,0,-0,0
2006-01-31,0,-0,0,1,-1710.88838162747,1710.77,0,-0,0
2006-02-01,1,-6431.8999094879,6431.9,-1,1694.21275737933,-1694.24,0,-0,0
2006-02-02,0,-0,0,1,-1711.25012044095,1711.02,0,-0,0
2006-02-03,-1,6202.27999865249,-6202.28,-1,1707.89526247111,-1707.96,0,-0,0
2006-02-06,1,-6403.50991258686,6403.51,1,-1712.45416006857,1712.3,1,-6719.82851363175,6719.96
2006-02-07,1,-6471.46994209022,6471.47,-1,1713.34456333917,-1713.47,-1,6719.94542312112,-6720.08
2006-02-08,-1,6285.01003113274,-6285.01,-1,1671.2497447931,-1671.39,-1,6623.97470088233,-6624.11
2006-02-09,0,-0,0,1,-1682.47163539045,1682.26,1,-6629.99802868939,6630.13
2006-02-10,0,-0,0,1,-1660.34832693582,1660.22,0,-0,0
2006-02-13,0,-0,0,1,-1618.13947745376,1618.01,-1,6562.15535132043,-6562.29
2006-02-14,1,-6451.849938391,6451.85,1,-1635.74389927606,1635.24,-1,6612.83418569068,-6612.97
